 
 Reps,Time(s),DGEFA,DGESL,OVERHEAD,KFLOPS 
      16,   0.64,  88.78%,   3.32%,   7.90%, 37197.103
      32,   1.28,  88.71%,   3.36%,   7.93%, 37146.954
      64,   2.57,  88.52%,   3.45%,   8.03%, 37214.633
     128,   5.13,  88.63%,   3.38%,   7.99%, 37214.995
     256,  10.26,  88.59%,   3.39%,   8.02%, 37240.405
      16,   0.64,  88.45%,   3.30%,   8.25%, 37346.241
      32,   1.28,  88.62%,   3.39%,   8.00%, 37197.198
      64,   2.57,  88.53%,   3.38%,   8.09%, 37234.323
     128,   5.14,  88.57%,   3.41%,   8.02%, 37214.696
     256,  10.27,  88.61%,   3.38%,   8.02%, 37233.062
      16,   0.64,  88.74%,   3.34%,   7.92%, 37203.842
      32,   1.28,  88.42%,   3.48%,   8.10%, 37219.345
      64,   2.57,  88.52%,   3.41%,   8.07%, 37202.992
     128,   5.14,  88.57%,   3.39%,   8.05%, 37224.854
     256,  10.27,  88.58%,   3.40%,   8.02%, 37228.370
      16,   0.64,  88.72%,   3.32%,   7.96%, 37214.302
      32,   1.29,  88.44%,   3.38%,   8.18%, 37206.079
      64,   2.57,  88.53%,   3.42%,   8.05%, 37219.628
     128,   5.13,  88.57%,   3.38%,   8.04%, 37242.599
     256,  10.27,  88.59%,   3.38%,   8.03%, 37240.054
      16,   0.64,  88.73%,   3.36%,   7.91%, 37218.021
      32,   1.29,  88.47%,   3.43%,   8.10%, 37212.254
      64,   2.57,  88.53%,   3.41%,   8.06%, 37218.951
     128,   5.13,  88.57%,   3.40%,   8.03%, 37223.837
     256,  10.26,  88.59%,   3.39%,   8.03%, 37241.277
      16,   0.64,  88.59%,   3.45%,   7.96%, 37078.911
      32,   1.29,  88.39%,   3.48%,   8.13%, 37191.846
      64,   2.57,  88.59%,   3.40%,   8.01%, 37216.886
     128,   5.13,  88.62%,   3.39%,   7.99%, 37228.583
     256,  10.26,  88.58%,   3.38%,   8.04%, 37247.984
      16,   0.64,  88.79%,   3.34%,   7.87%, 37202.520
      32,   1.28,  88.54%,   3.41%,   8.05%, 37200.630
      64,   2.57,  88.59%,   3.39%,   8.02%, 37226.423
     128,   5.13,  88.58%,   3.39%,   8.03%, 37242.133
     256,  10.26,  88.59%,   3.39%,   8.02%, 37249.374
      16,   0.64,  88.68%,   3.39%,   7.93%, 37248.178
      32,   1.29,  88.47%,   3.47%,   8.06%, 37185.867
      64,   2.59,  88.51%,   3.47%,   8.02%, 36859.011
     128,   5.13,  88.56%,   3.40%,   8.04%, 37246.970
     256,  10.26,  88.59%,   3.39%,   8.02%, 37250.984
      16,   0.64,  88.44%,   3.46%,   8.10%, 37320.108
      32,   1.28,  88.55%,   3.39%,   8.06%, 37212.947
      64,   2.57,  88.56%,   3.40%,   8.04%, 37248.778
     128,   5.13,  88.59%,   3.39%,   8.01%, 37245.842
     256,  10.26,  88.60%,   3.38%,   8.02%, 37251.110
      16,   0.64,  88.60%,   3.37%,   8.04%, 37268.837
      32,   1.28,  88.59%,   3.38%,   8.03%, 37197.355
      64,   2.57,  88.58%,   3.39%,   8.03%, 37232.194
     128,   5.13,  88.57%,   3.40%,   8.03%, 37250.262
     256,  10.26,  88.57%,   3.39%,   8.04%, 37263.689
      16,   0.64,  88.43%,   3.38%,   8.19%, 37326.067
      32,   1.28,  88.51%,   3.43%,   8.06%, 37216.035
      64,   2.57,  88.58%,   3.43%,   7.99%, 37228.614
     128,   5.13,  88.58%,   3.39%,   8.04%, 37247.089
     256,  10.28,  88.55%,   3.41%,   8.04%, 37201.622
      16,   0.64,  88.36%,   3.43%,   8.21%, 37332.346
      32,   1.29,  88.53%,   3.37%,   8.10%, 37179.890
      64,   2.57,  88.59%,   3.40%,   8.01%, 37209.056
     128,   5.13,  88.58%,   3.40%,   8.02%, 37226.785
     256,  10.26,  88.58%,   3.39%,   8.03%, 37243.609
      16,   0.64,  88.45%,   3.36%,   8.19%, 37322.961
      32,   1.29,  88.65%,   3.41%,   7.94%, 37147.236
      64,   2.57,  88.53%,   3.35%,   8.12%, 37229.939
     128,   5.13,  88.64%,   3.36%,   8.00%, 37212.513
     256,  10.27,  88.57%,   3.39%,   8.04%, 37224.101
      16,   0.64,  88.77%,   3.33%,   7.90%, 37221.993
      32,   1.29,  88.49%,   3.40%,   8.11%, 37202.173
      64,   2.57,  88.59%,   3.40%,   8.01%, 37206.551
     128,   5.13,  88.63%,   3.39%,   7.98%, 37206.661
     256,  10.27,  88.57%,   3.38%,   8.04%, 37236.974
      16,   0.64,  88.33%,   3.35%,   8.32%, 37345.607
      32,   1.29,  88.66%,   3.38%,   7.96%, 37134.555
      64,   2.57,  88.56%,   3.40%,   8.04%, 37201.417
     128,   5.14,  88.57%,   3.37%,   8.06%, 37208.118
     256,  10.27,  88.60%,   3.39%,   8.01%, 37209.993
      16,   0.64,  88.40%,   3.37%,   8.23%, 37328.540
      32,   1.29,  88.65%,   3.41%,   7.95%, 37142.527
      64,   2.57,  88.62%,   3.37%,   8.02%, 37194.302
