Reps;Time(s);DGEFA;DGESL;OVERHEAD;KFLOPS 
512;   1.00;  83.40%;   3.12%;  13.48%;814164511
1024;   2.01;  83.28%;   3.27%;  13.45%;809384911
2048;   4.00;  83.35%;   3.16%;  13.49%;813268979
4096;   8.02;  83.28%;   3.24%;  13.48%;811004952
8192;  15.99;  83.36%;   3.14%;  13.50%;813554799
512;   1.00;  83.37%;   3.15%;  13.48%;813079955
1024;   2.00;  83.36%;   3.15%;  13.49%;813376697
2048;   4.00;  83.36%;   3.14%;  13.49%;813823628
4096;   7.99;  83.37%;   3.14%;  13.49%;813803142
8192;  15.98;  83.37%;   3.14%;  13.49%;813577979
512;   1.00;  83.36%;   3.15%;  13.49%;813379990
1024;   2.00;  83.36%;   3.14%;  13.50%;813573860
2048;   4.04;  83.18%;   3.41%;  13.42%;803423569
4096;   8.10;  83.05%;   3.53%;  13.42%;801615170
8192;  16.04;  83.27%;   3.26%;  13.48%;810768188
512;   1.00;  83.36%;   3.14%;  13.50%;813790427
1024;   2.00;  83.30%;   3.21%;  13.48%;811846874
2048;   4.01;  83.30%;   3.22%;  13.48%;811476321
4096;   8.00;  83.34%;   3.16%;  13.50%;813300492
8192;  16.07;  83.24%;   3.29%;  13.47%;808842458
512;   1.00;  83.36%;   3.15%;  13.50%;813577626
1024;   2.00;  83.35%;   3.15%;  13.50%;813537620
2048;   4.00;  83.36%;   3.15%;  13.49%;813423744
4096;   8.00;  83.33%;   3.18%;  13.49%;812782373
8192;  15.99;  83.35%;   3.15%;  13.49%;813188739
256;   0.50;  83.28%;   3.24%;  13.48%;810584821
512;   1.00;  83.24%;   3.29%;  13.48%;810454955
1024;   2.00;  83.30%;   3.21%;  13.49%;811987970
2048;   4.00;  83.36%;   3.14%;  13.50%;813789721
4096;   7.99;  83.36%;   3.15%;  13.49%;813501501
8192;  15.99;  83.36%;   3.15%;  13.50%;813607397
256;   0.50;  83.25%;   3.27%;  13.47%;809836093
512;   1.00;  83.36%;   3.15%;  13.49%;813531502
1024;   2.00;  83.33%;   3.18%;  13.49%;812280162
2048;   4.00;  83.31%;   3.20%;  13.49%;812093238
4096;   7.99;  83.35%;   3.15%;  13.50%;813473737
8192;  16.00;  83.35%;   3.16%;  13.49%;813058801
512;   1.00;  83.37%;   3.14%;  13.49%;813717911
1024;   2.00;  83.33%;   3.17%;  13.50%;812807858
2048;   4.00;  83.33%;   3.19%;  13.49%;812597214
4096;   8.03;  83.32%;   3.20%;  13.48%;809713227
8192;  16.10;  83.37%;   3.17%;  13.46%;807578997
256;   0.50;  83.42%;   3.11%;  13.47%;811014891
512;   1.01;  83.39%;   3.14%;  13.47%;806715182
1024;   2.01;  83.41%;   3.12%;  13.46%;810085204
2048;   4.01;  83.41%;   3.13%;  13.46%;810027345
4096;   8.06;  83.30%;   3.23%;  13.47%;806140716
8192;  16.07;  83.26%;   3.28%;  13.46%;808779136
256;   0.50;  83.31%;   3.24%;  13.45%;806371953
512;   1.02;  82.74%;   3.88%;  13.38%;793437470
1024;   2.00;  83.31%;   3.22%;  13.47%;811279237
2048;   4.03;  83.32%;   3.22%;  13.46%;807285717
4096;   8.03;  83.41%;   3.13%;  13.46%;809249958
8192;  16.03;  83.39%;   3.12%;  13.48%;811076927
512;   1.00;  83.36%;   3.13%;  13.51%;813687779
1024;   2.00;  83.37%;   3.12%;  13.51%;813608221
2048;   4.01;  83.38%;   3.13%;  13.49%;811767676
4096;   8.03;  83.36%;   3.14%;  13.50%;809760667
8192;  16.01;  83.36%;   3.13%;  13.51%;812379639
512;   1.00;  83.38%;   3.13%;  13.50%;809941504
1024;   2.00;  83.36%;   3.13%;  13.51%;812977486
2048;   4.02;  83.40%;   3.14%;  13.46%;809054069
4096;   7.99;  83.37%;   3.13%;  13.50%;813916889
